cve_id,published,date_added,delay_days,cvss_v31_score,cvss_v31_severity,cvss_source,cvss_is_primary,vendor,product,cwe,known_ransomware,in_primary_sample
CVE-2002-0367,2002-06-25,2022-03-03,7191,7.8,HIGH,nvd@nist.gov,1,Microsoft,Windows,,Unknown,0
CVE-2004-0210,2004-08-06,2022-03-03,6418,7.8,HIGH,nvd@nist.gov,1,Microsoft,Windows,CWE-120,Unknown,0
CVE-2004-1464,2004-12-31,2023-05-19,6713,5.9,MEDIUM,nvd@nist.gov,1,Cisco,IOS,,Unknown,0
CVE-2005-2773,2005-09-02,2022-03-25,6048,9.8,CRITICAL,nvd@nist.gov,1,Hewlett Packard (HP),OpenView Network Node Manager,,Unknown,0
CVE-2006-1547,2006-03-30,2022-01-21,5776,7.5,HIGH,nvd@nist.gov,1,Apache,Struts 1,,Unknown,0
CVE-2006-2492,2006-05-20,2022-06-08,5863,8.8,HIGH,nvd@nist.gov,1,Microsoft,Word,CWE-120,Unknown,0
CVE-2007-0671,2007-02-03,2025-08-12,6765,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Office,,Unknown,0
CVE-2007-3010,2007-09-18,2022-04-15,5323,9.8,CRITICAL,nvd@nist.gov,1,Alcatel,OmniPCX Enterprise,CWE-20,Unknown,0
CVE-2007-5659,2008-02-12,2022-06-08,5230,7.8,HIGH,nvd@nist.gov,1,Adobe,Acrobat and Reader,CWE-119,Unknown,0
CVE-2008-0015,2009-07-07,2026-02-17,6069,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Windows,,Unknown,0
CVE-2008-0655,2008-02-07,2022-06-08,5235,8.8,HIGH,nvd@nist.gov,1,Adobe,Acrobat and Reader,,Unknown,0
CVE-2008-2992,2008-11-04,2022-03-03,4867,7.8,HIGH,nvd@nist.gov,1,Adobe,Acrobat and Reader,CWE-119,Known,0
CVE-2008-3431,2008-08-05,2022-03-03,4958,8.8,HIGH,nvd@nist.gov,1,Oracle,VirtualBox,CWE-264,Unknown,0
CVE-2008-4128,2008-09-18,2026-07-13,6507,4.3,MEDIUM,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Cisco,IOS,CWE-352,Unknown,0
CVE-2008-4250,2008-10-23,2026-05-20,6418,9.8,CRITICAL,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Windows,CWE-94,Unknown,0
CVE-2009-0238,2009-02-25,2026-04-14,6257,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Office,CWE-94,Unknown,0
CVE-2009-0556,2009-04-03,2026-01-07,6123,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Office,CWE-94,Unknown,0
CVE-2009-0557,2009-06-10,2022-06-08,4746,7.8,HIGH,nvd@nist.gov,1,Microsoft,Office,CWE-94,Unknown,0
CVE-2009-0563,2009-06-10,2022-06-08,4746,7.8,HIGH,nvd@nist.gov,1,Microsoft,Office,CWE-119,Unknown,0
CVE-2009-0927,2009-03-19,2022-03-25,4754,8.8,HIGH,nvd@nist.gov,1,Adobe,Reader and Acrobat,CWE-20,Unknown,0
CVE-2009-1123,2009-06-10,2022-03-03,4649,7.8,HIGH,nvd@nist.gov,1,Microsoft,Windows,CWE-20,Unknown,0
CVE-2009-1151,2009-03-26,2022-03-25,4747,9.8,CRITICAL,nvd@nist.gov,1,phpMyAdmin,phpMyAdmin,CWE-94,Unknown,0
CVE-2009-1537,2009-05-29,2026-05-20,6200,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,DirectX,,Unknown,0
CVE-2009-1862,2009-07-23,2022-06-08,4703,7.8,HIGH,nvd@nist.gov,1,Adobe,"Acrobat and Reader, Flash Player",CWE-94,Unknown,0
CVE-2009-2055,2009-08-19,2022-03-25,4601,5.9,MEDIUM,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Cisco,IOS XR,CWE-20,Unknown,0
CVE-2009-3129,2009-11-11,2022-03-03,4495,7.8,HIGH,nvd@nist.gov,1,Microsoft,Excel,CWE-94,Unknown,0
CVE-2009-3459,2009-10-13,2026-05-20,6063,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Adobe,Acrobat and Reader,CWE-119,Unknown,0
CVE-2009-3953,2010-01-13,2022-06-08,4529,8.8,HIGH,nvd@nist.gov,1,Adobe,Acrobat and Reader,CWE-119,Unknown,0
CVE-2009-3960,2010-02-15,2022-03-07,4403,6.5,MEDIUM,nvd@nist.gov,1,Adobe,BlazeDS,,Known,0
CVE-2009-4324,2009-12-15,2022-06-08,4558,7.8,HIGH,nvd@nist.gov,1,Adobe,Acrobat and Reader,CWE-399,Unknown,0
CVE-2010-0188,2010-02-22,2022-03-03,4392,7.8,HIGH,nvd@nist.gov,1,Adobe,Reader and Acrobat,CWE-94,Known,0
CVE-2010-0232,2010-01-21,2022-03-03,4424,7.8,HIGH,nvd@nist.gov,1,Microsoft,Windows,CWE-264,Unknown,0
CVE-2010-0249,2010-01-15,2026-05-20,5969,8.8,HIGH,nvd@nist.gov,1,Microsoft,Internet Explorer,CWE-416,Unknown,0
CVE-2010-0738,2010-04-28,2022-05-25,4410,5.3,MEDIUM,nvd@nist.gov,1,Red Hat,JBoss,CWE-264,Known,0
CVE-2010-0806,2010-03-10,2026-05-20,5915,8.8,HIGH,134c704f-9b21-4f2e-91b3-4a467353bcc0,0,Microsoft,Internet Explorer,CWE-399,Unknown,0
CVE-2010-0840,2010-04-01,2022-05-25,4437,9.8,CRITICAL,nvd@nist.gov,1,Oracle,Java Runtime Environment (JRE),,Unknown,0
CVE-2010-1297,2010-06-08,2022-06-08,4383,7.8,HIGH,nvd@nist.gov,1,Adobe,Flash Player,CWE-787,Unknown,0
CVE-2010-1428,2010-04-28,2022-05-25,4410,7.5,HIGH,nvd@nist.gov,1,Red Hat,JBoss,CWE-264,Known,0
